epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0377,0.92353,1.65302,0.92716,1.06077,0.70357,0.44373,0.54071,0.3717,0.69487,0.43342,0.53694,0.32663,1.52373,3.26018,1.32003,1.57357,0.00019518,0.00019518,0.00019518
2,31.3406,0.93217,1.59008,0.89888,1.05286,0.50081,0.64074,0.57066,0.34338,0.50081,0.64074,0.57305,0.28193,1.54237,3.00004,1.33498,1.6042,0.000383435,0.000383435,0.000383435
3,44.9427,0.97872,1.61801,0.92364,1.06929,0.6482,0.53503,0.62869,0.39953,0.65451,0.53937,0.63833,0.37006,1.53428,3.45689,1.23827,1.51906,0.000563928,0.000563928,0.000563928
4,58.5915,0.96656,1.57458,0.8978,1.06005,0.79182,0.51217,0.58218,0.37574,0.78913,0.51395,0.58417,0.35782,1.50625,3.75065,1.27693,1.5055,0.000553073,0.000553073,0.000553073
5,72.6006,0.92422,1.50588,0.85231,1.04467,0.76712,0.478,0.60279,0.35247,0.7625,0.46589,0.58252,0.30728,1.5641,4.09874,1.2336,1.51561,0.00054143,0.00054143,0.00054143
6,86.0476,0.88973,1.45613,0.81305,1.03126,0.71722,0.64426,0.75121,0.45297,0.71722,0.64426,0.74679,0.42683,1.55415,3.59108,1.7867,1.6256,0.000529788,0.000529788,0.000529788
7,99.9082,0.84201,1.38101,0.76418,1.01046,0.69619,0.58668,0.65332,0.40406,0.7027,0.5913,0.69123,0.36736,1.58471,3.53327,1.83673,1.54944,0.000518146,0.000518146,0.000518146
8,113.534,0.80409,1.33323,0.72442,0.99482,0.59444,0.65341,0.66538,0.46625,0.60714,0.66267,0.67867,0.41718,1.4222,3.64874,1.14963,1.4039,0.000506503,0.000506503,0.000506503
9,127.23,0.77125,1.28344,0.69173,0.98255,0.58257,0.63194,0.64191,0.43433,0.74126,0.50759,0.64132,0.37543,1.54133,3.41696,1.15442,1.50157,0.000494861,0.000494861,0.000494861
10,140.653,0.74699,1.23888,0.66714,0.97236,0.59184,0.60828,0.58459,0.38647,0.60039,0.61754,0.5926,0.32561,1.40077,3.87343,1.08606,1.40062,0.000483218,0.000483218,0.000483218
11,154.222,0.7204,1.20246,0.6403,0.96233,0.7545,0.56278,0.62872,0.40865,0.76133,0.56741,0.59691,0.353,1.4553,3.79852,1.23031,1.48221,0.000471576,0.000471576,0.000471576
12,167.236,0.6872,1.14709,0.60945,0.94965,0.51003,0.74306,0.65303,0.39014,0.52245,0.75694,0.66918,0.36747,1.48204,4.67574,1.10222,1.48957,0.000459934,0.000459934,0.000459934
13,180.921,0.66181,1.11985,0.58784,0.94016,0.75193,0.56249,0.65027,0.40555,0.75788,0.56712,0.6417,0.34684,1.47771,4.23451,1.00634,1.50873,0.000448291,0.000448291,0.000448291
14,193.838,0.63983,1.06453,0.56317,0.93161,0.79588,0.52297,0.63588,0.4392,0.78289,0.51431,0.60844,0.39344,1.52986,4.38986,1.09219,1.52797,0.000436649,0.000436649,0.000436649
15,207.04,0.62123,1.04789,0.54871,0.92764,0.59275,0.64041,0.60324,0.40928,0.59322,0.63613,0.57811,0.35149,1.53159,3.77269,1.23433,1.53892,0.000425006,0.000425006,0.000425006
16,220.437,0.59978,1.00813,0.52658,0.91887,0.69508,0.59662,0.58109,0.39251,0.71245,0.61146,0.60239,0.35034,1.52159,5.00258,1.04358,1.50145,0.000413364,0.000413364,0.000413364
17,233.931,0.57857,0.9706,0.5056,0.91182,0.60463,0.68412,0.65338,0.43622,0.5691,0.66954,0.6229,0.37107,1.45361,5.19084,1.03847,1.47821,0.000401722,0.000401722,0.000401722
18,247.601,0.56659,0.95258,0.49534,0.90754,0.77901,0.61714,0.7338,0.45244,0.79154,0.62711,0.71941,0.41748,1.53848,4.78044,1.04515,1.54012,0.000390079,0.000390079,0.000390079
19,260.929,0.54785,0.91247,0.4805,0.90142,0.57951,0.62731,0.5982,0.38946,0.5437,0.59954,0.56641,0.33687,1.45995,4.8015,1.00598,1.4776,0.000378437,0.000378437,0.000378437
20,274.436,0.53246,0.88582,0.46605,0.89731,0.78357,0.60103,0.67489,0.44498,0.84426,0.54327,0.65775,0.39537,1.46657,5.55564,1.20087,1.45469,0.000366794,0.000366794,0.000366794
21,287.522,0.5114,0.85361,0.44682,0.8913,0.64483,0.69203,0.76828,0.50339,0.60904,0.66425,0.73782,0.44853,1.4579,5.61482,1.04676,1.42542,0.000355152,0.000355152,0.000355152
22,301.2,0.49868,0.83965,0.4375,0.88778,0.70678,0.63212,0.68932,0.45923,0.70678,0.63212,0.6873,0.40676,1.44635,5.20804,1.08387,1.39745,0.00034351,0.00034351,0.00034351
23,315.507,0.47995,0.79741,0.42162,0.88204,0.80424,0.52496,0.65455,0.43667,0.80424,0.52496,0.65751,0.37291,1.48858,6.03313,1.12769,1.50106,0.000331867,0.000331867,0.000331867
24,329.039,0.47955,0.79691,0.41892,0.8826,0.77394,0.57627,0.70673,0.46008,0.78303,0.58553,0.71293,0.40174,1.39763,5.56505,0.97754,1.41069,0.000320225,0.000320225,0.000320225
25,342.346,0.46242,0.76303,0.4075,0.87737,0.76461,0.59599,0.69907,0.43813,0.79846,0.54971,0.66366,0.38987,1.47866,5.07263,1.0366,1.47246,0.000308582,0.000308582,0.000308582
26,356.275,0.45201,0.74239,0.39777,0.87371,0.71704,0.59086,0.65522,0.42593,0.81913,0.53499,0.65732,0.3585,1.42856,5.22957,1.10656,1.41896,0.00029694,0.00029694,0.00029694
27,370.035,0.44315,0.72147,0.38981,0.87151,0.64378,0.65005,0.76543,0.48931,0.57682,0.61522,0.72629,0.40523,1.41048,5.84197,1.17189,1.43549,0.000285298,0.000285298,0.000285298
28,383.889,0.42746,0.69241,0.37819,0.86713,0.70647,0.5887,0.7491,0.4378,0.78432,0.53502,0.6291,0.36846,1.41378,5.60362,1.05506,1.44016,0.000273655,0.000273655,0.000273655
29,397.661,0.41789,0.67407,0.37042,0.86524,0.54372,0.73156,0.68148,0.44938,0.5493,0.73501,0.67657,0.3939,1.39598,5.85639,1.004,1.39517,0.000262013,0.000262013,0.000262013
30,411.089,0.40818,0.64983,0.36318,0.86308,0.625,0.67567,0.70246,0.44684,0.625,0.67567,0.67959,0.37566,1.37213,6.1429,0.94949,1.40752,0.00025037,0.00025037,0.00025037
31,424.954,0.40049,0.63769,0.35712,0.86053,0.79253,0.53201,0.69362,0.46973,0.79253,0.53201,0.6678,0.40802,1.39379,5.86555,0.99231,1.43116,0.000238728,0.000238728,0.000238728
32,438.566,0.3903,0.62413,0.34868,0.85877,0.75153,0.58909,0.76099,0.47558,0.7615,0.59372,0.73308,0.39287,1.40579,6.52491,1.07587,1.45862,0.000227086,0.000227086,0.000227086
